bike,year,category,displacement_ccm,engine_cylinder,power_hp,seat_height_mm,dry_weight_kg
Ajs 125 eco commuter,2010,Allround,0,0,0,0,0
Derbi terra 125,2010,Allround,0,0,0,0,0
Brudeli 654l,2010,Allround,1,0,0,1,0
Sommer diesel 462,2010,Allround,0,1,0,0,0
Cargobike as125,2010,Allround,0,0,0,1,0
Moto Morini granpasso h83,2010,Allround,1,0,1,1,0
Ccm ft35-s,2010,Allround,0,0,0,1,0
Eagle-Wing db125 road,2010,Allround,0,0,0,1,0
Honda cbf125,2010,Allround,0,0,0,0,0
Triumph tiger,2010,Allround,1,1,1,1,0
Ajs regal-raptor eos-125 mk2,2010,Allround,0,0,0,0,0
Bmw f 800 s,2010,Allround,1,0,1,1,0
Honda dn-01,2010,Allround,1,0,0,0,0
Cobra ecx70,2010,ATV,0,0,0,0,0
Qlink rodeo 500,2010,ATV,0,0,0,1,0
Vento avalanche ex,2010,ATV,0,0,0,0,0
Aeon cobra 50,2010,ATV,0,0,0,0,0
Bamx bx250-s1 assault,2010,ATV,0,0,0,0,0
Bennche gray wolf 700,2010,ATV,1,0,0,1,0
Bamx bx110-s tracker,2010,ATV,0,0,0,0,0
Bamx bx350-s assault,2010,ATV,0,0,0,0,0
Aeon cobra  rs 180,2010,ATV,0,0,0,0,0
Bennche gray wolf 500,2010,ATV,0,0,0,1,0
Aeon cobra 320,2010,ATV,0,0,0,0,0
Xmotos kodiac 250,2010,ATV,0,0,0,1,0
Cf Moto cf500,2010,ATV,0,0,0,0,0
Polaris sportsman 850 eps,2010,ATV,1,0,0,1,0
Cf Moto x-lander 650,2010,ATV,1,0,0,0,0
Kymco maxxer 50,2010,ATV,0,0,0,0,0
Kymco mongoose 300,2010,ATV,0,0,0,0,0
Kymco mongoose 90,2010,ATV,0,0,0,0,0
Kymco mxu 500,2010,ATV,0,0,0,1,0
Bamx bx200-s charger,2010,ATV,0,0,0,0,0
Can-Am outlander max 800 efi,2010,ATV,1,0,0,1,0
Bamx bx450-s assault,2010,ATV,0,0,0,1,0
Can-Am outlander max 800 efi  ltd,2010,ATV,1,0,0,1,0
Aeon crossland 300,2010,ATV,0,0,0,1,0
Can-Am renegade 800 efi,2010,ATV,1,0,0,1,0
Can-Am renegade 800 efi xc,2010,ATV,1,0,0,1,0
Tgb blade 325le,2010,ATV,0,0,0,1,0
Tgb blade 425le,2010,ATV,0,0,0,1,0
Tgb blade 525se,2010,ATV,0,0,0,1,0
Aeon revo 100,2010,ATV,0,0,0,0,0
Aeon revo 50,2010,ATV,0,0,0,0,0
Tgb target 325,2010,ATV,0,0,0,1,0
Tgb target 425,2010,ATV,0,0,0,1,0
Dinli shrike dl606 50,2010,ATV,0,0,0,0,0
Tgb target 525,2010,ATV,0,0,0,1,0
Bamx bx50-s side kick,2010,ATV,0,0,0,0,0
Aeon overland 180,2010,ATV,0,0,0,0,0
Aeon minikolt 50,2010,ATV,0,0,0,0,0
Bamx bx150-s charger,2010,ATV,0,0,0,0,0
Bamx bx70-s charger,2010,ATV,0,0,0,0,0
Bamx bx200-s1 assault,2010,ATV,0,0,0,0,0
Kymco maxxer 450i,2010,ATV,0,0,0,1,0
Ducati sport 1000s,2010,Classic,1,0,1,1,0
Enfield electra twinspark,2010,Classic,0,0,0,0,0
Norton commando 961se,2010,Classic,1,0,1,0,0
Enfield classic 350,2010,Classic,0,0,0,0,0
Ducati sport 1000 biposto,2010,Classic,1,0,1,1,0
Norton commando 961 cafe racer,2010,Classic,1,0,1,0,0
Norton commando 961 sport,2010,Classic,1,0,1,0,0
Enfield classic 500,2010,Classic,0,0,0,0,0
Moto Guzzi california vintage,2010,Classic,1,0,0,0,0
Ccm sr-40,2010,Classic,0,0,0,1,0
Triumph daytona 675,2010,Classic,1,1,1,1,0
Triumph thruxton,2010,Classic,1,0,0,1,0
Ural taiga,2010,Classic,1,1,0,0,0
Ural tourist 750,2010,Classic,1,1,0,0,0
Ural gear up 750,2010,Classic,1,1,0,0,0
Ccm ft 710,2010,Classic,1,0,0,1,0
Ural patrol 750,2010,Classic,1,1,0,0,0
Ccm cr-40,2010,Classic,0,0,0,1,0
Triumph bonneville,2010,Classic,1,0,0,0,0
Triumph scrambler,2010,Classic,1,0,0,1,0
Ducati sportclassic gt 1000,2010,Classic,1,0,1,0,0
