id,Brand,Model,Year,Category,Engine Size (cc),Power (hp),Engine Cylinder,Fuel Capacity (Lts),Weight (kg),Seat Height (mm),Power-to-Weight (hp/kg)
41,Adiva,ad tre,2014,Scooter,205,20.6,Single cylinder,13.0,118.0,740.0,0.17
42,Adiva,ad tre 55,2014,Scooter,205,20.6,Single cylinder,13.0,215.0,740.0,0.1
46,Adiva,ad3 300,2019,Scooter,299,29.4,Single cylinder,11.0,202.0,700.0,0.15
47,Adiva,ad3 300lt,2020,Scooter,299,29.4,Single cylinder,12.2,202.0,700.0,0.15
48,Adiva,ad3 400,2018,Scooter,399,36.7,Single cylinder,11.0,257.0,770.0,0.14
49,Adiva,ad3 400,2019,Scooter,399,36.7,Single cylinder,11.0,257.0,770.0,0.14
52,Adiva,ar3 200,2018,Scooter,190,18.8,Single cylinder,14.0,231.0,700.0,0.08
59,Adiva,n125,2010,Scooter,124,10.3,Single cylinder,6.0,108.0,800.0,0.1
60,Adiva,n125,2011,Scooter,124,10.3,Single cylinder,6.0,108.0,800.0,0.1
61,Adiva,r125,2010,Scooter,124,10.3,Single cylinder,6.0,109.0,800.0,0.09
62,Adiva,r125,2011,Scooter,124,10.3,Single cylinder,6.0,109.0,800.0,0.09
170,Aeon,3d-350,2018,Scooter,346,25.0,Single cylinder,13.5,212.5,790.0,0.12
171,Aeon,3d-350,2019,Scooter,346,27.0,Single cylinder,13.5,212.5,790.0,0.13
172,Aeon,3d-350 r,2019,Scooter,346,30.0,Single cylinder,13.5,224.0,790.0,0.13
182,Aeon,cobra  rs 180,2010,Atv,169,8.7,Single cylinder,8.0,165.0,790.0,0.05
186,Aeon,cobra 220,2019,Atv,196,12.1,Single cylinder,7.3,193.0,790.0,0.06
189,Aeon,cobra 320,2010,Atv,196,16.1,Single cylinder,7.3,77.0,550.0,0.21
190,Aeon,cobra 400,2012,Atv,346,20.1,Single cylinder,9.3,207.0,790.0,0.1
193,Aeon,cobra 400 supermoto,2022,Atv,346,20.1,Single cylinder,9.3,207.0,780.0,0.1
195,Aeon,cobra 50,2010,Atv,49,3.6,Single cylinder,5.0,130.0,800.0,0.03
196,Aeon,cobra 50,2012,Atv,49,3.0,Single cylinder,5.0,129.0,800.0,0.02
198,Aeon,cobra supermoto,2018,Atv,346,20.1,Single cylinder,9.3,207.0,780.0,0.1
199,Aeon,cobra supermoto,2019,Atv,346,20.1,Single cylinder,9.3,207.0,780.0,0.1
201,Aeon,crossland 300,2010,Atv,272,18.1,Single cylinder,14.0,233.0,850.0,0.08
202,Aeon,crossland 600 efi,2018,Atv,565,20.1,Single cylinder,23.0,411.0,920.0,0.05
203,Aeon,crossland rx 400,2012,Atv,346,20.1,Single cylinder,14.0,230.0,850.0,0.09
204,Aeon,crossland x4 400,2012,Atv,346,20.1,Single cylinder,14.0,236.0,850.0,0.09
205,Aeon,elite 125,2012,Scooter,125,10.5,Single cylinder,13.5,165.0,800.0,0.06
207,Aeon,elite 250i,2019,Scooter,249,22.1,Single cylinder,13.5,167.0,750.0,0.13
208,Aeon,elite 350i,2012,Scooter,313,22.8,Single cylinder,13.5,172.0,800.0,0.13
209,Aeon,elite 400i,2014,Scooter,346,26.6,Single cylinder,13.5,172.0,800.0,0.15
210,Aeon,elite 400i abs,2018,Scooter,346,32.2,Single cylinder,13.5,180.0,800.0,0.18
211,Aeon,elite 400i abs,2019,Scooter,346,27.0,Single cylinder,13.5,180.0,800.0,0.15
212,Aeon,es 150,2019,Scooter,150,14.0,Single cylinder,7.0,124.0,774.0,0.11
214,Aeon,minikolt 50,2010,Atv,49,3.2,Single cylinder,3.4,77.0,550.0,0.04
215,Aeon,minikolt 50,2012,Atv,49,3.2,Single cylinder,3.4,77.0,550.0,0.04
216,Aeon,my 125i,2012,Allround,125,10.7,Single cylinder,6.0,108.0,735.0,0.1
217,Aeon,my 150,2019,Allround,149,14.0,Single cylinder,6.0,118.0,735.0,0.12
218,Aeon,overland 180,2010,Atv,169,8.7,Single cylinder,8.0,178.0,770.0,0.05
219,Aeon,overland 200 t3,2018,Atv,176,13.1,Single cylinder,9.0,195.0,800.0,0.07
220,Aeon,overland 600,2012,Atv,565,20.1,Single cylinder,24.0,342.0,820.0,0.06
221,Aeon,ozs 150,2019,Scooter,150,14.0,Single cylinder,7.0,110.0,750.0,0.13
223,Aeon,quadro 350d,2012,Scooter,313,22.8,Single cylinder,13.0,200.0,780.0,0.11
224,Aeon,revo 100,2010,Atv,96,6.6,Single cylinder,5.0,119.0,710.0,0.06
225,Aeon,revo 50,2010,Atv,49,3.6,Single cylinder,5.0,115.0,710.0,0.03
226,Aeon,urban 125,2012,Scooter,125,14.1,Single cylinder,13.5,168.0,815.0,0.08
227,Aeon,urban 350i,2012,Scooter,313,22.8,Single cylinder,13.5,177.0,815.0,0.13
228,Aeon,urban 350i,2014,Scooter,313,22.8,Single cylinder,13.5,177.0,815.0,0.13
229,Aeon,xboy 10,2012,"Minibike, Cross",49,3.4,Single cylinder,2.0,50.0,600.0,0.07
230,Aeon,xboy 12,2012,"Minibike, Cross",49,9.4,Single cylinder,2.0,55.0,650.0,0.17
333,Ajp,pr3 125 supermoto,2015,Super Motard,124,12.6,Single cylinder,7.0,102.0,840.0,0.12
337,Ajp,pr3 240 supermoto,2015,Super Motard,233,20.0,Single cylinder,7.0,106.0,840.0,0.19
351,Ajp,pr3 supermoto 125,2018,Super Motard,124,12.6,Single cylinder,7.0,104.0,810.0,0.12
352,Ajp,pr3 supermoto 125,2020,Super Motard,125,12.6,Single cylinder,7.0,104.0,840.0,0.12
353,Ajp,pr3 supermoto 240,2018,Super Motard,233,20.0,Single cylinder,7.0,108.0,810.0,0.19
354,Ajp,pr3 supermoto 240,2020,Super Motard,233,20.0,Single cylinder,7.0,108.0,840.0,0.19
355,Ajp,pr3 supermoto pro 125,2018,Super Motard,124,12.6,Single cylinder,7.0,104.0,840.0,0.12
356,Ajp,pr3 supermoto pro 125,2020,Super Motard,124,12.6,Single cylinder,7.0,104.0,840.0,0.12
357,Ajp,pr3 supermoto pro 240,2018,Super Motard,233,20.0,Single cylinder,7.0,108.0,810.0,0.19
358,Ajp,pr3 supermoto pro 240,2020,Super Motard,233,20.0,Single cylinder,7.0,108.0,840.0,0.19
362,Ajp,pr4 125 enduro,2010,Enduro / Offroad,124,12.5,Single cylinder,7.5,105.0,910.0,0.12
363,Ajp,pr4 125 enduro,2015,Enduro / Offroad,124,12.6,Single cylinder,7.0,105.0,920.0,0.12
366,Ajp,pr4 125 sm,2010,Super Motard,124,12.6,Single cylinder,7.5,104.0,910.0,0.12
377,Ajp,pr4 200 sm,2010,Super Motard,198,18.0,Single cylinder,7.5,106.0,910.0,0.17
381,Ajp,pr4 240 supermoto,2015,Super Motard,233,20.0,Single cylinder,7.0,115.0,870.0,0.17
392,Ajp,pr4 supermoto pro 240,2018,Super Motard,233,20.0,Single cylinder,7.0,115.0,870.0,0.17
393,Ajp,pr4 supermoto pro 240,2020,Super Motard,233,20.0,Single cylinder,7.0,115.0,870.0,0.17
407,Ajp,pr7,2015,Prototype / Concept Model,660,48.0,Single cylinder,17.0,155.0,920.0,0.31
409,Ajp,pr7 adventure 650,2018,Enduro / Offroad,660,48.0,Single cylinder,17.0,155.0,920.0,0.31
410,Ajp,pr7 adventure 650,2019,Enduro / Offroad,660,48.0,Single cylinder,17.0,155.0,920.0,0.31
411,Ajp,pr7 adventure 650,2020,Enduro / Offroad,600,48.0,Single cylinder,17.0,155.0,920.0,0.31
415,Ajp,spr 510r,2021,Enduro / Offroad,501,38.0,Single cylinder,9.5,119.0,960.0,0.32
417,Ajs,125 eco commuter,2011,Allround,124,10.1,Single cylinder,10.0,114.0,760.0,0.09
421,Ajs,a9 flight 125,2015,Scooter,124,7.4,Single cylinder,4.7,107.0,820.0,0.07
422,Ajs,bobber 125,2011,Custom / Cruiser,125,11.0,Twin,8.0,161.0,640.0,0.07
423,Ajs,bobber 125,2015,Custom / Cruiser,125,11.0,Twin,8.0,161.0,640.0,0.07
424,Ajs,bobber 125,2016,Custom / Cruiser,125,11.0,Twin,8.0,161.0,640.0,0.07
425,Ajs,cadwell 125,2018,Sport,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
426,Ajs,cadwell 125,2020,Sport,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
427,Ajs,cadwell 125,2022,Sport,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
428,Ajs,cadwell clubman 125,2018,Classic,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
429,Ajs,cadwell clubman 125,2020,Allround,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
431,Ajs,crazy naked 50,2011,Scooter,40,3.5,Single cylinder,5.0,90.0,775.0,0.04
433,Ajs,daytona 125,2011,Custom / Cruiser,125,11.0,Twin,13.5,180.0,640.0,0.06
