id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
1,acabion,da vinci 650-vi,2011,Prototype / concept model,3.2,Unknown,804.0,Electric,Unknown,420.0,Unknown
3,acabion,gtbo 600 daytona-vi,2011,Prototype / concept model,3.5,Unknown,536.0,Electric,Unknown,420.0,Unknown
4,acabion,gtbo 600 daytona-vi,2021,Prototype / concept model,Unknown,Unknown,536.0,Electric,Unknown,420.0,Unknown
6,access,37 offroad e-scooter,2021,Scooter,Unknown,Unknown,1.1,Electric,Unknown,42.0,750.0
7,access,ams 3.20 supercross,2016,ATV,Unknown,280.0,18.8,Single cylinder,14.0,225.0,Unknown
8,access,ams 4.30 supermoto efi,2016,ATV,Unknown,359.3,29.5,Single cylinder,14.0,236.0,Unknown
9,access,ams 4.38 sm gear shift,2016,ATV,Unknown,449.0,37.6,Single cylinder,14.0,236.0,Unknown
10,access,ams 4.38 sx gear shift,2016,ATV,Unknown,449.0,37.6,Single cylinder,14.0,236.0,Unknown
11,access,ams 6.46 basic,2016,ATV,Unknown,608.0,45.6,Single cylinder,21.0,346.0,Unknown
12,access,ams 6.46 lux,2016,ATV,Unknown,608.0,45.6,Single cylinder,21.0,346.0,Unknown
13,access,ams 6.46 lux long,2016,ATV,Unknown,608.0,45.6,Single cylinder,21.0,346.0,Unknown
14,access,ams 8.57 lux lv,2016,ATV,3.9,781.0,56.3,Single cylinder,21.0,362.0,Unknown
15,access,amx 8.57 efi,2018,ATV,Unknown,781.0,57.7,Single cylinder,21.0,344.0,Unknown
16,access,minisport 110,2021,ATV,Unknown,107.0,6.8,Single cylinder,Unknown,95.0,610.0
17,access,shade 200,2021,ATV,Unknown,176.0,13.1,Single cylinder,Unknown,201.0,Unknown
18,access,shade 420,2018,ATV,Unknown,359.3,26.8,Single cylinder,16.6,321.0,Unknown
19,access,shade sport 650,2018,ATV,Unknown,608.0,45.6,Single cylinder,21.0,334.0,Unknown
20,access,shade sport 650 eps,2020,ATV,Unknown,608.0,45.6,Single cylinder,21.0,342.0,Unknown
21,access,shade sport 850,2018,ATV,Unknown,781.0,57.7,Single cylinder,21.0,334.0,Unknown
22,access,shade sport 850 lv,2020,ATV,Unknown,781.0,57.7,Single cylinder,21.0,342.0,Unknown
23,access,shade sport 850 touring,2020,ATV,Unknown,781.0,57.7,Single cylinder,21.0,358.0,Unknown
24,access,shade xtreme 650,2022,ATV,Unknown,608.0,45.6,Single cylinder,21.0,330.0,Unknown
25,access,shade xtreme 650 ng,2020,ATV,Unknown,608.0,45.6,Single cylinder,21.0,330.0,Unknown
26,access,shade xtreme 850,2018,ATV,2.8,781.0,57.7,Single cylinder,21.0,329.0,Unknown
27,access,shade xtreme 850 dlx eps,2020,ATV,Unknown,781.0,57.7,Single cylinder,21.0,329.0,Unknown
28,access,xtreme enduro 300,2021,ATV,Unknown,280.0,18.8,Single cylinder,Unknown,225.0,Unknown
29,access,xtreme s 480,2021,ATV,Unknown,449.0,Unknown,Single cylinder,14.0,236.0,Unknown
30,access,xtreme supermoto 300,2021,ATV,Unknown,280.0,18.8,Single cylinder,Unknown,225.0,Unknown
37,adiva,ad 125,2011,Scooter,2.9,124.0,13.0,Single cylinder,13.5,171.0,Unknown
38,adiva,ad 125le,2010,Scooter,1.9,124.0,13.0,Single cylinder,13.5,171.0,Unknown
39,adiva,ad 200,2011,Scooter,3.4,171.2,15.8,Single cylinder,12.0,172.0,Unknown
41,adiva,ad tre,2014,Scooter,Unknown,205.3,20.6,Single cylinder,13.0,118.0,740.0
42,adiva,ad tre 55,2014,Scooter,Unknown,205.3,20.6,Single cylinder,13.0,215.0,740.0
45,adiva,ad3 300,2018,Scooter,Unknown,299.0,Unknown,Single cylinder,11.0,202.0,700.0
46,adiva,ad3 300,2019,Scooter,Unknown,299.0,29.4,Single cylinder,11.0,202.0,700.0
47,adiva,ad3 300lt,2020,Scooter,Unknown,299.0,29.4,Single cylinder,12.2,202.0,700.0
48,adiva,ad3 400,2018,Scooter,3.3,399.0,36.7,Single cylinder,11.0,257.0,770.0
49,adiva,ad3 400,2019,Scooter,Unknown,399.0,36.7,Single cylinder,11.0,257.0,770.0
50,adiva,ar 125,2011,Scooter,Unknown,124.0,13.0,Single cylinder,12.0,171.0,Unknown
51,adiva,ar 200,2011,Scooter,3.0,171.2,15.8,Single cylinder,12.0,172.0,Unknown
52,adiva,ar3 200,2018,Scooter,Unknown,190.0,18.8,Single cylinder,14.0,231.0,700.0
53,adiva,birdie,2012,Scooter,2.2,124.6,9.4,Single cylinder,5.0,118.0,Unknown
54,adiva,cargo 3,2013,Scooter,Unknown,Unknown,1.3,Electric,Unknown,Unknown,720.0
55,adiva,cargo 3,2014,Scooter,Unknown,Unknown,1.3,Electric,Unknown,60.0,720.0
56,adiva,cargo2,2011,Scooter,Unknown,Unknown,Unknown,Electric,Unknown,60.0,700.0
57,adiva,e-moving,2013,Scooter,Unknown,Unknown,0.8,Electric,Unknown,63.0,Unknown
58,adiva,e-moving,2014,Scooter,Unknown,Unknown,0.8,Electric,Unknown,63.0,Unknown
59,adiva,n125,2010,Scooter,Unknown,124.0,10.3,Single cylinder,6.0,108.0,800.0
60,adiva,n125,2011,Scooter,3.2,124.0,10.3,Single cylinder,6.0,108.0,800.0
61,adiva,r125,2010,Scooter,2.7,124.0,10.3,Single cylinder,6.0,109.0,800.0
62,adiva,r125,2011,Scooter,3.1,124.0,10.3,Single cylinder,6.0,109.0,800.0
63,adiva,vx-1,2021,Scooter,Unknown,Unknown,14.8,Electric,Unknown,Unknown,775.0
107,adly,fc-25 e-bike fun cruiser,2010,Scooter,Unknown,Unknown,Unknown,Electric,Unknown,46.9,650.0
